Position,Track Name,Artist,Streams,URL
1,Shape of You,Ed Sheeran,7284400,0FE9t6xYkqWXU2ahLh6D8X
2,Paris,The Chainsmokers,4016241,15vzANxN8G9wWfwAJLLMCg
3,Castle on the Hill,Ed Sheeran,3617095,66qlqxhEMpSHOzjRK4il0b
4,Starboy,The Weeknd,3542789,5aAx2yezTd8zXrkmtKl66Z
5,"I Don‰Ûªt Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3426983,3NdDpSvN911VPGivFlV5d0
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3349856,5knuzwU65gJK7IF5yJsuaW
7,Closer,The Chainsmokers,2920806,7BKLCZ1jbUBVqRi2FVlTVw
8,I Feel It Coming,The Weeknd,2712416,4RepvCWqsP6zBuzvwYibAS
9,Say You Won't Let Go,James Arthur,2704732,5uCax9HTNlzGybIStD3vDh
10,Don't Wanna Know,Maroon 5,2634111,5MFzQMkrl1FOOng9tq6R9r
11,Fake Love,Drake,2618544,6NMNgWgEAzde5M8U3lc6FN
12,Bad and Boujee (feat. Lil Uzi Vert),Migos,2465991,1FvU97lrWOG2NRxErh6OZz
13,Call On Me - Ryan Riback Extended Remix,Starley,2402820,78rIJddV4X0HkNAInEcYde
14,Let Me Love You,DJ Snake,2326804,4pdPtRcBmOSQDlJ3Fk945m
15,24K Magic,Bruno Mars,2228147,6b8Be6ljOzmkOmFslEb23P
16,Chantaje,Shakira,2224685,1WniHvhq9zTkny0WvGXX8o
17,Just Hold On,Steve Aoki,2198226,3EmmCZoqpWOTY1g2GBwJoR
18,Bad Things - With Camila Cabello,Machine Gun Kelly,2126805,56cswAa9WdFBsjsTyPBAKA
19,Black Beatles,Rae Sremmurd,1920519,6fujklziTHa8uoM5OQSfIo
20,One Dance,Drake,1824695,1xznGGDReH1oQq0xzbwXa3
21,Side To Side,Ariana Grande,1807475,4pLwZjInHj3SimIyN9SnOz
22,Despacito,Luis Fonsi,1779541,4aWmUDTfIPGksMNLV2rQP2
23,Cold Water (feat. Justin Bieber & MÌ÷),Major Lazer,1773877,6DNtNfH8hXkqOX1sjqmI7p
24,In the Name of Love,Martin Garrix,1727825,23L5CiUhw2jV1OIMwthR3S
25,"How Far I'll Go - From ""Moana""",Alessia Cara,1709314,5EbX5xL3O2xT8FxCpYzgUO
26,All Night,The Vamps,1686698,1yNyoWWWikbLhwIGWjZuDW
27,Mercy,Shawn Mendes,1673192,3OalxlWH0v14kyBcNBMINt
28,Hear Me Now,Alok,1644106,1a5Yu5L18qNxVhXx38njON
29,Now and Later,Sage The Gemini,1594561,43jBqV3j3Xi1g6wO0bhIMd
30,Shed A Light,Robin Schulz,1554065,1cG0umU5TKStygKsPFZ9pY
31,My Way,Calvin Harris,1530966,1vvNmPOiUuyCbgWmtc6yfm
32,I Would Like,Zara Larsson,1504230,0HVj61S4pQJdQhgZP61G65
33,Solo Dance,Martin Jensen,1478210,3R6dPfF2yBO8mHySW1XDAa
